Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Kaapo Kahkonen (14310640),Kaapo Kahkonen,14310640,G,6500,MIN@VAN 02/19/2020 10:30PM ET,MIN,16.08
LW,Mike Hoffman (14309984),Mike Hoffman,14309984,W/UTIL,6400,FLA@ANH 02/19/2020 10:00PM ET,FLA,10.70
LW,Gabriel Landeskog (14309986),Gabriel Landeskog,14309986,W/UTIL,6300,NYI@COL 02/19/2020 10:00PM ET,COL,9.91
LW,J.T. Miller (14309988),J.T. Miller,14309988,W/UTIL,6200,MIN@VAN 02/19/2020 10:30PM ET,VAN,10.72
LW,Chris Kreider (14309990),Chris Kreider,14309990,W/UTIL,6100,NYR@CHI 02/19/2020 08:00PM ET,NYR,10.20
C,Jonathan Toews (14309786),Jonathan Toews,14309786,C/UTIL,6000,NYR@CHI 02/19/2020 08:00PM ET,CHI,10.22
D,Oscar Klefbom (14310316),Oscar Klefbom,14310316,D/UTIL,6000,BOS@EDM 02/19/2020 08:30PM ET,EDM,12.70
LW,Andre Burakovsky (14309992),Andre Burakovsky,14309992,W/UTIL,6000,NYI@COL 02/19/2020 10:00PM ET,COL,8.94
RW,Kailer Yamamoto (14309994),Kailer Yamamoto,14309994,W/UTIL,5900,BOS@EDM 02/19/2020 08:30PM ET,EDM,10.09
D,Torey Krug (14310318),Torey Krug,14310318,D/UTIL,5900,BOS@EDM 02/19/2020 08:30PM ET,BOS,9.52
D,Cale Makar (14310320),Cale Makar,14310320,D/UTIL,5800,NYI@COL 02/19/2020 10:00PM ET,COL,10.22
C,Ryan Getzlaf (14309788),Ryan Getzlaf,14309788,C/UTIL,5800,FLA@ANH 02/19/2020 10:00PM ET,ANH,9.20
RW,Kevin Fiala (14309996),Kevin Fiala,14309996,W/UTIL,5800,MIN@VAN 02/19/2020 10:30PM ET,MIN,9.15
RW,Evgenii Dadonov (14309998),Evgenii Dadonov,14309998,W/UTIL,5700,FLA@ANH 02/19/2020 10:00PM ET,FLA,9.65
D,Alexander Edler (14310322),Alexander Edler,14310322,D/UTIL,5700,MIN@VAN 02/19/2020 10:30PM ET,VAN,10.99
C,Mathew Barzal (14309790),Mathew Barzal,14309790,C/UTIL,5600,NYI@COL 02/19/2020 10:00PM ET,NYI,10.19
D,Ryan Graves (14310324),Ryan Graves,14310324,D/UTIL,5600,NYI@COL 02/19/2020 10:00PM ET,COL,9.57
RW,Rickard Rakell (14310000),Rickard Rakell,14310000,W/UTIL,5600,FLA@ANH 02/19/2020 10:00PM ET,ANH,9.27
D,Jacob Trouba (14310326),Jacob Trouba,14310326,D/UTIL,5500,NYR@CHI 02/19/2020 08:00PM ET,NYR,10.20
C,Nazem Kadri (14309792),Nazem Kadri,14309792,C/UTIL,5500,NYI@COL 02/19/2020 10:00PM ET,COL,9.27
LW,Tanner Pearson (14310002),Tanner Pearson,14310002,W/UTIL,5500,MIN@VAN 02/19/2020 10:30PM ET,VAN,9.45
LW,Jake DeBrusk (14310004),Jake DeBrusk,14310004,W/UTIL,5400,BOS@EDM 02/19/2020 08:30PM ET,BOS,8.50
C,Brock Nelson (14309794),Brock Nelson,14309794,C/UTIL,5400,NYI@COL 02/19/2020 10:00PM ET,NYI,10.56
D,Jared Spurgeon (14310328),Jared Spurgeon,14310328,D/UTIL,5400,MIN@VAN 02/19/2020 10:30PM ET,MIN,8.71
C,Ryan Strome (14309796),Ryan Strome,14309796,C/UTIL,5300,NYR@CHI 02/19/2020 08:00PM ET,NYR,9.19
RW,Brock Boeser (14310006),Brock Boeser,14310006,W/UTIL,5300,MIN@VAN 02/19/2020 10:30PM ET,VAN,10.52
D,Quinn Hughes (14310330),Quinn Hughes,14310330,D/UTIL,5300,MIN@VAN 02/19/2020 10:30PM ET,VAN,8.38
LW,Jamie Benn (14310008),Jamie Benn,14310008,W/UTIL,5200,ARI@DAL 02/19/2020 08:30PM ET,DAL,9.43
D,Ryan Pulock (14310332),Ryan Pulock,14310332,D/UTIL,5200,NYI@COL 02/19/2020 10:00PM ET,NYI,10.01
C,Vincent Trocheck (14309798),Vincent Trocheck,14309798,C/UTIL,5200,FLA@ANH 02/19/2020 10:00PM ET,FLA,8.88
LW,Anders Lee (14310010),Anders Lee,14310010,W/UTIL,5100,NYI@COL 02/19/2020 10:00PM ET,NYI,9.80
D,Aaron Ekblad (14310334),Aaron Ekblad,14310334,D/UTIL,5100,FLA@ANH 02/19/2020 10:00PM ET,FLA,9.07
C,Eric Staal (14309800),Eric Staal,14309800,C/UTIL,5100,MIN@VAN 02/19/2020 10:30PM ET,MIN,7.93
C,David Krejci (14309802),David Krejci,14309802,C/UTIL,5000,BOS@EDM 02/19/2020 08:30PM ET,BOS,7.70
LW,Zach Parise (14310012),Zach Parise,14310012,W/UTIL,5000,MIN@VAN 02/19/2020 10:30PM ET,MIN,8.59
D,Ryan Suter (14310336),Ryan Suter,14310336,D/UTIL,5000,MIN@VAN 02/19/2020 10:30PM ET,MIN,8.62
C,Christian Dvorak (14309804),Christian Dvorak,14309804,C/UTIL,4900,ARI@DAL 02/19/2020 08:30PM ET,ARI,7.84
RW,Conor Garland (14310014),Conor Garland,14310014,W/UTIL,4900,ARI@DAL 02/19/2020 08:30PM ET,ARI,8.60
D,Jakob Chychrun (14310338),Jakob Chychrun,14310338,D/UTIL,4900,ARI@DAL 02/19/2020 08:30PM ET,ARI,9.14
D,Miro Heiskanen (14310340),Miro Heiskanen,14310340,D/UTIL,4900,ARI@DAL 02/19/2020 08:30PM ET,DAL,8.92
RW,Jakob Silfverberg (14310016),Jakob Silfverberg,14310016,W/UTIL,4900,FLA@ANH 02/19/2020 10:00PM ET,ANH,8.92
LW,Dominik Kubalik (14310018),Dominik Kubalik,14310018,W/UTIL,4800,NYR@CHI 02/19/2020 08:00PM ET,CHI,8.83
RW,Pavel Buchnevich (14310020),Pavel Buchnevich,14310020,W/UTIL,4800,NYR@CHI 02/19/2020 08:00PM ET,NYR,7.71
D,Charlie McAvoy (14310342),Charlie McAvoy,14310342,D/UTIL,4800,BOS@EDM 02/19/2020 08:30PM ET,BOS,8.23
C,Adam Henrique (14309806),Adam Henrique,14309806,C/UTIL,4800,FLA@ANH 02/19/2020 10:00PM ET,ANH,8.36
D,Matt Dumba (14310344),Matt Dumba,14310344,D/UTIL,4800,MIN@VAN 02/19/2020 10:30PM ET,MIN,8.22
LW,Alex DeBrincat (14310024),Alex DeBrincat,14310024,W/UTIL,4700,NYR@CHI 02/19/2020 08:00PM ET,CHI,9.15
D,Tony DeAngelo (14310348),Tony DeAngelo,14310348,D/UTIL,4700,NYR@CHI 02/19/2020 08:00PM ET,NYR,9.20
C,Charlie Coyle (14309808),Charlie Coyle,14309808,C/UTIL,4700,BOS@EDM 02/19/2020 08:30PM ET,BOS,7.76
D,Darnell Nurse (14310346),Darnell Nurse,14310346,D/UTIL,4700,BOS@EDM 02/19/2020 08:30PM ET,EDM,9.36
RW,Ondrej Kase (14310026),Ondrej Kase,14310026,W/UTIL,4700,FLA@ANH 02/19/2020 10:00PM ET,ANH,7.98
RW,Tyler Toffoli (14310022),Tyler Toffoli,14310022,W/UTIL,4700,MIN@VAN 02/19/2020 10:30PM ET,VAN,9.27
